id_venta;producto;precio;cantidad;fecha_venta;categoria
792;Cuadro decorativo;6994,0;5,0;2024-01-02;Decoración
811;Lámpara de mesa;10510,0;5,0;2024-01-02;Decoración
1156;Secadora;9796,0;3,0;2024-01-02;Electrodomésticos
1372;Heladera;11435,0;8,0;2024-01-02;Electrodomésticos
1546;Secadora;10621,0;4,0;2024-01-02;Electrodomésticos
1697;Horno eléctrico;3535,0;9,0;2024-01-02;Electrodomésticos
1710;Plancha de vapor;6543,0;2,0;2024-01-02;Electrodomésticos
2959;Proyector;8817,0;9,0;2024-01-02;Electrónica
318;Rincón de plantas;7986,0;11,0;2024-01-03;Decoración
419;Candelabro;6611,0;8,0;2024-01-03;Decoración
1374;Aspiradora;9590,0;5,0;2024-01-03;Electrodomésticos
1571;Freidora eléctrica;11118,0;1,0;2024-01-03;Electrodomésticos
1814;Aspiradora;7091,0;2,0;2024-01-03;Electrodomésticos
2769;Proyector;4362,0;11,0;2024-01-03;Electrónica
2794;Tablet;6797,0;9,0;2024-01-03;Electrónica
2824;Tablet;7409,0;5,0;2024-01-03;Electrónica
446;Cortinas;6210,0;4,0;2024-01-04;Decoración
630;Adorno de pared;7199,0;9,0;2024-01-04;Decoración
794;Jarrón decorativo;9697,0;7,0;2024-01-04;Decoración
882;Cuadro decorativo;10192,0;9,0;2024-01-04;Decoración
969;Candelabro;9070,0;12,0;2024-01-04;Decoración
1445;Lavadora;2841,0;10,0;2024-01-04;Electrodomésticos
1971;Freidora eléctrica;12225,0;11,0;2024-01-04;Electrodomésticos
2209;Proyector;3215,0;1,0;2024-01-04;Electrónica
256;Cortinas;8682,0;8,0;2024-01-05;Decoración
606;Cortinas;10666,0;11,0;2024-01-05;Decoración
704;Jarrón decorativo;5722,0;9,0;2024-01-05;Decoración
1362;Heladera;10949,0;11,0;2024-01-05;Electrodomésticos
2155;Auriculares;8480,0;10,0;2024-01-05;Electrónica
2947;Cámara digital;10778,0;3,0;2024-01-05;Electrónica
1495;Lavadora;3899,0;6,0;2024-01-06;Electrodomésticos
1572;Cafetera;6140,0;9,0;2024-01-06;Electrodomésticos
2180;Consola de videojuegos;10257,0;9,0;2024-01-06;Electrónica
2487;Cámara digital;5076,0;3,0;2024-01-06;Electrónica
2603;Smartphone;8705,0;5,0;2024-01-06;Electrónica
2885;Auriculares;10040,0;6,0;2024-01-06;Electrónica
17;Elementos de cerámica;10848,0;11,0;2024-01-07;Decoración
183;Espejo decorativo;8276,0;8,0;2024-01-07;Decoración
560;Adorno de pared;5762,0;6,0;2024-01-07;Decoración
632;Cuadro decorativo;3049,0;12,0;2024-01-07;Decoración
699;Candelabro;3423,0;12,0;2024-01-07;Decoración
1150;Plancha de vapor;3363,0;10,0;2024-01-07;Electrodomésticos
1400;Plancha de vapor;2691,0;5,0;2024-01-07;Electrodomésticos
1496;Secadora;9533,0;11,0;2024-01-07;Electrodomésticos
1524;Aspiradora;6555,0;8,0;2024-01-07;Electrodomésticos
1550;Plancha de vapor;5151,0;7,0;2024-01-07;Electrodomésticos
2174;Auriculares;11604,0;11,0;2024-01-07;Electrónica
2773;Smartphone;10751,0;5,0;2024-01-07;Electrónica
2920;Consola de videojuegos;2949,0;2,0;2024-01-07;Electrónica
84;Jarrón decorativo;3705,0;4,0;2024-01-08;Decoración
349;Candelabro;5765,0;6,0;2024-01-08;Decoración
687;Elementos de cerámica;2768,0;8,0;2024-01-08;Decoración
696;Cortinas;3257,0;8,0;2024-01-08;Decoración
1734;Aspiradora;5086,0;4,0;2024-01-08;Electrodomésticos
2173;Smartphone;5419,0;12,0;2024-01-08;Electrónica
2283;Smartphone;7007,0;11,0;2024-01-08;Electrónica
2501;Parlantes Bluetooth;8778,0;1,0;2024-01-08;Electrónica
2918;SmartWatch;8218,0;10,0;2024-01-08;Electrónica
386;Cortinas;8571,0;8,0;2024-01-09;Decoración
599;Candelabro;4722,0;5,0;2024-01-09;Decoración
633;Espejo decorativo;6039,0;2,0;2024-01-09;Decoración
714;Jarrón decorativo;4246,0;8,0;2024-01-09;Decoración
871;Lámpara de mesa;7964,0;11,0;2024-01-09;Decoración
1132;Cafetera;2988,0;10,0;2024-01-09;Electrodomésticos
1443;Microondas;6739,0;8,0;2024-01-09;Electrodomésticos
1584;Aspiradora;9958,0;7,0;2024-01-09;Electrodomésticos
1617;Horno eléctrico;6853,0;8,0;2024-01-09;Electrodomésticos
1649;Batidora;3926,0;11,0;2024-01-09;Electrodomésticos
2917;Cámara digital;12087,0;7,0;2024-01-09;Electrónica
315;Alfombra;12207,0;9,0;2024-01-10;Decoración
553;Espejo decorativo;9629,0;9,0;2024-01-10;Decoración
817;Elementos de cerámica;10631,0;1,0;2024-01-10;Decoración
830;Adorno de pared;6723,0;10,0;2024-01-10;Decoración
854;Jarrón decorativo;4283,0;5,0;2024-01-10;Decoración
1090;Plancha de vapor;6615,0;8,0;2024-01-10;Electrodomésticos
1464;Aspiradora;3638,0;5,0;2024-01-10;Electrodomésticos
1933;Microondas;4605,0;6,0;2024-01-10;Electrodomésticos
308;Rincón de plantas;3170,0;11,0;2024-01-11;Decoración
718;Rincón de plantas;2988,0;8,0;2024-01-11;Decoración
804;Jarrón decorativo;8784,0;7,0;2024-01-11;Decoración
963;Espejo decorativo;3234,0;5,0;2024-01-11;Decoración
1167;Horno eléctrico;11970,0;6,0;2024-01-11;Electrodomésticos
1234;Aspiradora;3689,0;7,0;2024-01-11;Electrodomésticos
1319;Batidora;7998,0;12,0;2024-01-11;Electrodomésticos
1885;Lavadora;12075,0;10,0;2024-01-11;Electrodomésticos
2268;SmartWatch;4845,0;2,0;2024-01-11;Electrónica
2325;Auriculares;11743,0;11,0;2024-01-11;Electrónica
2761;Parlantes Bluetooth;2989,0;9,0;2024-01-11;Electrónica
243;Espejo decorativo;5561,0;1,0;2024-01-12;Decoración
1441;Freidora eléctrica;5257,0;11,0;2024-01-12;Electrodomésticos
2428;SmartWatch;11500,0;10,0;2024-01-12;Electrónica
2583;Smartphone;6793,0;10,0;2024-01-12;Electrónica
2980;Consola de videojuegos;11060,0;12,0;2024-01-12;Electrónica
88;Rincón de plantas;10933,0;9,0;2024-01-13;Decoración
501;Lámpara de mesa;3520,0;6,0;2024-01-13;Decoración
507;Elementos de cerámica;11110,0;1,0;2024-01-13;Decoración
669;Lámpara de mesa;9679,0;5,0;2024-01-13;Decoración
987;Elementos de cerámica;10262,0;3,0;2024-01-13;Decoración
1548;Cafetera;3573,0;12,0;2024-01-13;Electrodomésticos
2822;Televisor;5734,0;1,0;2024-01-13;Electrónica
2924;Tablet;3230,0;1,0;2024-01-13;Electrónica
20;Adorno de pared;9021,0;2,0;2024-01-14;Decoración
53;Espejo decorativo;11545,0;7,0;2024-01-14;Decoración
608;Rincón de plantas;6467,0;10,0;2024-01-14;Decoración
993;Espejo decorativo;9826,0;1,0;2024-01-14;Decoración
1065;Lavadora;4398,0;6,0;2024-01-14;Electrodomésticos
1599;Batidora;9678,0;12,0;2024-01-14;Electrodomésticos
1638;Cafetera;12396,0;9,0;2024-01-14;Electrodomésticos
1685;Lavadora;8480,0;3,0;2024-01-14;Electrodomésticos
2685;Auriculares;2736,0;10,0;2024-01-14;Electrónica
169;Lámpara de mesa;7632,0;9,0;2024-01-15;Decoración
236;Cortinas;11869,0;9,0;2024-01-15;Decoración
260;Adorno de pared;10148,0;9,0;2024-01-15;Decoración
977;Elementos de cerámica;7435,0;5,0;2024-01-15;Decoración
1271;Freidora eléctrica;11946,0;2,0;2024-01-15;Electrodomésticos
2098;SmartWatch;7565,0;5,0;2024-01-15;Electrónica
2196;Laptop;3169,0;1,0;2024-01-15;Electrónica
2590;Consola de videojuegos;9914,0;6,0;2024-01-15;Electrónica
2788;SmartWatch;3038,0;8,0;2024-01-15;Electrónica
2803;Smartphone;9573,0;5,0;2024-01-15;Electrónica
2874;Tablet;11747,0;2,0;2024-01-15;Electrónica
113;Espejo decorativo;7593,0;10,0;2024-01-16;Decoración
503;Espejo decorativo;10191,0;3,0;2024-01-16;Decoración
832;Cuadro decorativo;3059,0;1,0;2024-01-16;Decoración
962;Cuadro decorativo;4097,0;11,0;2024-01-16;Decoración
1250;Plancha de vapor;9855,0;6,0;2024-01-16;Electrodomésticos
1431;Freidora eléctrica;8395,0;8,0;2024-01-16;Electrodomésticos
1920;Plancha de vapor;8665,0;6,0;2024-01-16;Electrodomésticos
2129;Proyector;10798,0;6,0;2024-01-16;Electrónica
2220;Consola de videojuegos;3157,0;1,0;2024-01-16;Electrónica
2477;Cámara digital;3837,0;9,0;2024-01-16;Electrónica
2789;Proyector;11519,0;11,0;2024-01-16;Electrónica
2935;Auriculares;8029,0;2,0;2024-01-16;Electrónica
131;Lámpara de mesa;5832,0;10,0;2024-01-17;Decoración
178;Rincón de plantas;8150,0;1,0;2024-01-17;Decoración
368;Rincón de plantas;8740,0;9,0;2024-01-17;Decoración
684;Jarrón decorativo;10689,0;6,0;2024-01-17;Decoración
1750;Plancha de vapor;9453,0;2,0;2024-01-17;Electrodomésticos
2284;Tablet;6935,0;4,0;2024-01-17;Electrónica
2402;Televisor;11753,0;9,0;2024-01-17;Electrónica
2698;SmartWatch;7647,0;7,0;2024-01-17;Electrónica
430;Adorno de pared;8176,0;5,0;2024-01-18;Decoración
588;Rincón de plantas;8017,0;3,0;2024-01-18;Decoración
1626;Secadora;10273,0;6,0;2024-01-18;Electrodomésticos
1900;Plancha de vapor;4514,0;1,0;2024-01-18;Electrodomésticos
2119;Proyector;8410,0;11,0;2024-01-18;Electrónica
2244;Auriculares;6367,0;5,0;2024-01-18;Electrónica
2297;Cámara digital;11943,0;5,0;2024-01-18;Electrónica
2416;Laptop;8174,0;10,0;2024-01-18;Electrónica
2431;Parlantes Bluetooth;6940,0;1,0;2024-01-18;Electrónica
2792;Televisor;8496,0;5,0;2024-01-18;Electrónica
30;Adorno de pared;7692,0;6,0;2024-01-19;Decoración
49;Lámpara de mesa;5295,0;6,0;2024-01-19;Decoración
104;Jarrón decorativo;10313,0;8,0;2024-01-19;Decoración
323;Espejo decorativo;12321,0;7,0;2024-01-19;Decoración
395;Alfombra;3348,0;12,0;2024-01-19;Decoración
851;Lámpara de mesa;8523,0;6,0;2024-01-19;Decoración
1125;Lavadora;9773,0;12,0;2024-01-19;Electrodomésticos
1332;Cafetera;9821,0;11,0;2024-01-19;Electrodomésticos
1806;Secadora;2745,0;10,0;2024-01-19;Electrodomésticos
2231;Parlantes Bluetooth;4298,0;7,0;2024-01-19;Electrónica
401;Lámpara de mesa;6947,0;8,0;2024-01-20;Decoración
788;Rincón de plantas;8575,0;3,0;2024-01-20;Decoración
1007;Horno eléctrico;9842,0;8,0;2024-01-20;Electrodomésticos
1489;Batidora;9559,0;3,0;2024-01-20;Electrodomésticos
2187;Cámara digital;10861,0;2,0;2024-01-20;Electrónica
2588;SmartWatch;8301,0;11,0;2024-01-20;Electrónica
2721;Parlantes Bluetooth;4074,0;6,0;2024-01-20;Electrónica
2897;Cámara digital;7145,0;5,0;2024-01-20;Electrónica
2987;Cámara digital;9113,0;8,0;2024-01-20;Electrónica
59;Lámpara de mesa;12172,0;8,0;2024-01-21;Decoración
754;Jarrón decorativo;9153,0;12,0;2024-01-21;Decoración
1117;Horno eléctrico;10357,0;1,0;2024-01-21;Electrodomésticos
1140;Plancha de vapor;2761,0;7,0;2024-01-21;Electrodomésticos
1145;Lavadora;6720,0;11,0;2024-01-21;Electrodomésticos
1286;Secadora;8450,0;11,0;2024-01-21;Electrodomésticos
1754;Aspiradora;10486,0;8,0;2024-01-21;Electrodomésticos
1882;Cafetera;5116,0;12,0;2024-01-21;Electrodomésticos
2560;Consola de videojuegos;8723,0;5,0;2024-01-21;Electrónica
442;Cuadro decorativo;2917,0;1,0;2024-01-22;Decoración
547;Elementos de cerámica;8381,0;6,0;2024-01-22;Decoración
984;Jarrón decorativo;2697,0;5,0;2024-01-22;Decoración
1106;Secadora;9154,0;2,0;2024-01-22;Electrodomésticos
1808;Cafetera;4598,0;3,0;2024-01-22;Electrodomésticos
1981;Freidora eléctrica;4868,0;8,0;2024-01-22;Electrodomésticos
80;Adorno de pared;5156,0;5,0;2024-01-23;Decoración
189;Lámpara de mesa;2642,0;2,0;2024-01-23;Decoración
839;Lámpara de mesa;9637,0;5,0;2024-01-23;Decoración
947;Elementos de cerámica;11734,0;1,0;2024-01-23;Decoración
1592;Cafetera;8679,0;3,0;2024-01-23;Electrodomésticos
2690;Consola de videojuegos;10240,0;2,0;2024-01-23;Electrónica
39;Lámpara de mesa;5735,0;12,0;2024-01-24;Decoración
164;Jarrón decorativo;6627,0;1,0;2024-01-24;Decoración
196;Cortinas;9087,0;4,0;2024-01-24;Decoración
768;Rincón de plantas;8947,0;2,0;2024-01-24;Decoración
1515;Lavadora;10837,0;1,0;2024-01-24;Electrodomésticos
1786;Secadora;4063,0;3,0;2024-01-24;Electrodomésticos
1977;Horno eléctrico;4579,0;7,0;2024-01-24;Electrodomésticos
2354;Tablet;2798,0;8,0;2024-01-24;Electrónica
2543;Smartphone;9139,0;7,0;2024-01-24;Electrónica
2623;Smartphone;2732,0;7,0;2024-01-24;Electrónica
2982;Televisor;2670,0;9,0;2024-01-24;Electrónica
85;Alfombra;7114,0;2,0;2024-01-25;Decoración
983;Espejo decorativo;12322,0;10,0;2024-01-25;Decoración
1378;Cafetera;9694,0;4,0;2024-01-25;Electrodomésticos
1485;Lavadora;6616,0;4,0;2024-01-25;Electrodomésticos
1503;Microondas;3945,0;9,0;2024-01-25;Electrodomésticos
2121;Parlantes Bluetooth;10060,0;6,0;2024-01-25;Electrónica
2340;Consola de videojuegos;10968,0;5,0;2024-01-25;Electrónica
2502;Televisor;7783,0;8,0;2024-01-25;Electrónica
2619;Proyector;7010,0;10,0;2024-01-25;Electrónica
2735;Auriculares;9337,0;10,0;2024-01-25;Electrónica
2948;SmartWatch;2915,0;2,0;2024-01-25;Electrónica
73;Espejo decorativo;5258,0;9,0;2024-01-26;Decoración
621;Lámpara de mesa;7060,0;6,0;2024-01-26;Decoración
787;Elementos de cerámica;10639,0;6,0;2024-01-26;Decoración
933;Espejo decorativo;11002,0;1,0;2024-01-26;Decoración
1768;Cafetera;12032,0;9,0;2024-01-26;Electrodomésticos
2252;Televisor;8927,0;8,0;2024-01-26;Electrónica
2305;Auriculares;3103,0;9,0;2024-01-26;Electrónica
218;Rincón de plantas;12032,0;1,0;2024-01-27;Decoración
310;Adorno de pared;10379,0;2,0;2024-01-27;Decoración
496;Cortinas;3702,0;5,0;2024-01-27;Decoración
1360;Plancha de vapor;9510,0;2,0;2024-01-27;Electrodomésticos
1744;Aspiradora;2879,0;12,0;2024-01-27;Electrodomésticos
1877;Horno eléctrico;5346,0;4,0;2024-01-27;Electrodomésticos
2165;Auriculares;4724,0;9,0;2024-01-27;Electrónica
2218;SmartWatch;5484,0;1,0;2024-01-27;Electrónica
2222;Televisor;3319,0;9,0;2024-01-27;Electrónica
2546;Laptop;3031,0;2,0;2024-01-27;Electrónica
617;Elementos de cerámica;2822,0;4,0;2024-01-28;Decoración
641;Lámpara de mesa;9546,0;10,0;2024-01-28;Decoración
912;Cuadro decorativo;11156,0;9,0;2024-01-28;Decoración
1999;Batidora;10327,0;3,0;2024-01-28;Electrodomésticos
2323;Smartphone;3450,0;1,0;2024-01-28;Electrónica
2636;Laptop;3307,0;10,0;2024-01-28;Electrónica
2693;Smartphone;11581,0;1,0;2024-01-28;Electrónica
373;Espejo decorativo;2977,0;11,0;2024-01-29;Decoración
1452;Cafetera;8856,0;8,0;2024-01-29;Electrodomésticos
1645;Lavadora;7650,0;3,0;2024-01-29;Electrodomésticos
2228;SmartWatch;10006,0;7,0;2024-01-29;Electrónica
2240;Consola de videojuegos;4335,0;8,0;2024-01-29;Electrónica
2245;Auriculares;5345,0;8,0;2024-01-29;Electrónica
2653;Smartphone;12122,0;6,0;2024-01-29;Electrónica
2870;Consola de videojuegos;7239,0;1,0;2024-01-29;Electrónica
2938;SmartWatch;12268,0;1,0;2024-01-29;Electrónica
2953;Smartphone;12100,0;12,0;2024-01-29;Electrónica
1046;Secadora;10900,0;11,0;2024-01-30;Electrodomésticos
1886;Secadora;4791,0;1,0;2024-01-30;Electrodomésticos
1965;Lavadora;4352,0;7,0;2024-01-30;Electrodomésticos
2005;Auriculares;5656,0;4,0;2024-01-30;Electrónica
2273;Smartphone;5933,0;2,0;2024-01-30;Electrónica
2522;Televisor;9498,0;2,0;2024-01-30;Electrónica
2784;Tablet;4196,0;9,0;2024-01-30;Electrónica
2945;Auriculares;11520,0;1,0;2024-01-30;Electrónica
50;Adorno de pared;8310,0;5,0;2024-01-31;Decoración
162;Cuadro decorativo;5960,0;5,0;2024-01-31;Decoración
259;Lámpara de mesa;7889,0;11,0;2024-01-31;Decoración
277;Elementos de cerámica;5217,0;7,0;2024-01-31;Decoración
852;Cuadro decorativo;7893,0;4,0;2024-01-31;Decoración
1185;Lavadora;9236,0;1,0;2024-01-31;Electrodomésticos
1210;Plancha de vapor;10196,0;10,0;2024-01-31;Electrodomésticos
1254;Aspiradora;7411,0;11,0;2024-01-31;Electrodomésticos
1481;Freidora eléctrica;12177,0;12,0;2024-01-31;Electrodomésticos
1898;Cafetera;6354,0;9,0;2024-01-31;Electrodomésticos
2185;Auriculares;3574,0;11,0;2024-01-31;Electrónica
2752;Auriculares;11977,0;5,0;2024-01-31;Electrónica
2916;Laptop;9391,0;2,0;2024-01-31;Electrónica
733;Espejo decorativo;4437,0;2,0;2024-02-01;Decoración
848;Rincón de plantas;8192,0;10,0;2024-02-01;Decoración
1102;Cafetera;10833,0;2,0;2024-02-01;Electrodomésticos
1764;Aspiradora;11238,0;10,0;2024-02-01;Electrodomésticos
1813;Microondas;8916,0;5,0;2024-02-01;Electrodomésticos
2069;Proyector;7617,0;12,0;2024-02-01;Electrónica
2474;Auriculares;12341,0;8,0;2024-02-01;Electrónica
2680;Consola de videojuegos;8996,0;2,0;2024-02-01;Electrónica
380;Adorno de pared;4584,0;10,0;2024-02-02;Decoración
557;Elementos de cerámica;10886,0;6,0;2024-02-02;Decoración
828;Rincón de plantas;2795,0;7,0;2024-02-02;Decoración
829;Lámpara de mesa;4160,0;12,0;2024-02-02;Decoración
1600;Plancha de vapor;4760,0;10,0;2024-02-02;Electrodomésticos
2079;Proyector;11174,0;6,0;2024-02-02;Electrónica
2115;Auriculares;2600,0;9,0;2024-02-02;Electrónica
